 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          2          2.00000000       2          9.60000079e-09   7.20012849e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67999019e-08   0.00000000e+00   0.00000000e+00   2.27373675e-13  
 1          2          2.00000000       3          9.32864453e-01   1.67999019e-08   0.00000000e+00   1.76995201e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.70276723e+00   0.00000000e+00   0.00000000e+00   4.92523595e-05  
 1          2          2.00000000       4          8.31618962e-01   2.70276723e+00   0.00000000e+00   3.73933198e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.27375689e+00   0.00000000e+00   0.00000000e+00   -3.87159177e-05 
 1          2          2.00000000       5          7.25834955e-01   7.27375689e+00   0.00000000e+00   1.28889483e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.28848167e+00   0.00000000e+00   0.00000000e+00   4.99973970e-06  
 1          2          2.00000000       6          6.18792564e-01   9.28848167e+00   0.00000000e+00   1.91181058e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.18190838e+01   0.00000000e+00   0.00000000e+00   1.05756092e-06  
 1          2          2.00000000       7          5.22939508e-01   1.18190838e+01   0.00000000e+00   3.71065291e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.60527073e+01   0.00000000e+00   0.00000000e+00   -3.11490812e-05 
 1          2          2.00000000       8          4.32708638e-01   1.60527073e+01   2.84217094e-14   1.28429110e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.77697369e+01   0.00000000e+00   0.00000000e+00   -2.98143562e-05 
 1          2          2.00000000       9          3.48961218e-01   1.77697369e+01   0.00000000e+00   1.90657662e+00   0.00000000e+00   0.00000000e+00   2.84217094e-14   2.00256947e+01   0.00000000e+00   0.00000000e+00   -4.19998440e-04 
 1          2          2.00000000       10         2.73013806e-01   2.00256947e+01   0.00000000e+00   3.69828843e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.39966895e+01   0.00000000e+00   0.00000000e+00   3.07506822e-04  
 1          2          2.00000000       11         2.06930304e-01   2.39966895e+01   0.00000000e+00   1.27879338e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.54542977e+01   0.00000000e+00   2.80262541e-02   8.91939252e-05  
 1          2          2.00000000       12         1.53811501e-01   2.54542977e+01   0.00000000e+00   1.89634874e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.73093451e+01   0.00000000e+00   1.94997576e-01   1.15254061e-04  
