 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  WELIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  WELOUT                  DRNOUT                  ABER
 1          2          2.00000000       5          9.82500496e-01   8.94784132e+00   0.00000000e+00   2.14890374e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.20791851e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.04602726e-05  
 1          2          2.00000000       6          1.09104910e+00   1.20791851e+01   0.00000000e+00   3.27343539e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.64437372e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.76125703e-05 
 1          2          2.00000000       7          1.04887444e+00   1.64437372e+01   0.00000000e+00   7.57619382e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.50688606e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.51352874e-05 
 1          2          2.00000000       8          1.17459599e+00   2.50688606e+01   0.00000000e+00   2.35048606e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.85939059e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.67088684e-05  
 1          2          2.00000000       9          1.15663572e+00   2.85939059e+01   0.00000000e+00   3.64831238e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.33988102e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.38057778e-05  
 1          2          2.00000000       10         1.27668019e+00   3.33988102e+01   0.00000000e+00   7.66953512e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.23450211e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.38407896e-06  
 1          2          2.00000000       11         1.24105193e+00   4.23450211e+01   0.00000000e+00   2.73408526e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.63202010e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.26273704e-05 
 1          2          2.00000000       12         1.38479598e+00   4.63202010e+01   0.00000000e+00   4.11308764e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.18180251e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.94980631e-05  
 1          2          2.00000000       13         1.36411717e+00   5.18180251e+01   0.00000000e+00   9.37356489e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.25556928e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.43761374e-05  
 1          2          2.00000000       14         1.49460922e+00   6.25556928e+01   0.00000000e+00   2.88361582e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.69337509e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.66887602e-04  
 1          2          2.00000000       15         1.46909199e+00   6.69337509e+01   0.00000000e+00   4.46059360e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.28637577e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.21159298e-04 
 1          2          2.00000000       16         1.60001899e+00   7.28637577e+01   0.00000000e+00   9.32739384e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.37906804e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.90083026e-04  
 1          2          2.00000000       17         1.56686924e+00   8.37906804e+01   0.00000000e+00   3.31651349e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.86743051e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.41968285e-04 
 1          2          2.00000000       18         1.68907086e+00   8.86743051e+01   0.00000000e+00   4.98098901e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.53447082e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.43269672e-04 
 1          2          2.00000000       19         1.63984755e+00   9.53447082e+01   0.00000000e+00   1.13206300e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.08305014e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.71320343e-04  
 1          2          2.00000000       20         1.74657406e+00   1.08305014e+02   0.00000000e+00   3.47510606e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.13526567e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.27189316e-04  
 1          2          2.00000000       21         1.68726787e+00   1.13526567e+02   0.00000000e+00   5.36827012e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.20582227e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.21917708e-04 
 1          2          2.00000000       22         1.78075620e+00   1.20582227e+02   0.00000000e+00   1.11748515e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.33537649e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.85500360e-04  
 1          2          2.00000000       23         1.70572372e+00   1.33537649e+02   0.00000000e+00   3.95881448e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.39202629e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.41170953e-04 
 1          2          2.00000000       24         1.79689654e+00   1.39202629e+02   0.00000000e+00   5.92212162e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.46921329e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.17808320e-04  
 1          2          2.00000000       25         1.72534472e+00   1.46921329e+02   0.00000000e+00   1.33203123e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.61966979e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.99306526e-06  
 1          2          2.00000000       26         1.82992942e+00   1.61966979e+02   0.00000000e+00   4.04853841e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67845357e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.05713883e-05  
 1          2          2.00000000       27         1.77351758e+00   1.67845357e+02   0.00000000e+00   6.21294406e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.75831949e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.30510771e-04 
 1          2          2.00000000       28         1.89317568e+00   1.75831949e+02   0.00000000e+00   1.26790467e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.90404082e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.91931105e-05  
 1          2          2.00000000       29         1.85022148e+00   1.90404082e+02   0.00000000e+00   4.42497860e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.96679370e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.79129427e-05 
 1          2          2.00000000       30         1.99461387e+00   1.96679370e+02   0.00000000e+00   6.52410406e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.05198070e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.79536468e-05  
 1          2          2.00000000       31         1.98737220e+00   2.05198070e+02   0.00000000e+00   1.42075179e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.21392953e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.11368018e-06  
 1          2          2.00000000       32         2.15169168e+00   2.21392953e+02   0.00000000e+00   4.19706421e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.27741760e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.08018804e-05 
 1          2          2.00000000       33         2.11266446e+00   2.27741760e+02   0.00000000e+00   6.32867771e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.36183078e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.39097862e-05  
 1          2          2.00000000       34         1.73142103e+00   2.36183078e+02   0.00000000e+00   1.23116050e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.50226138e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.39895456e-05 
 1          2          2.00000000       35         6.85450386e-01   2.50226138e+02   0.00000000e+00   4.14731395e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.54892728e+02   0.00000000e+00   0.00000000e+00   1.67171483e-01   -9.97780417e-04 
 1          2          2.00000000       36         5.42511278e-01   2.54892728e+02   0.00000000e+00   5.91183376e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.60668692e+02   0.00000000e+00   0.00000000e+00   6.77275161e-01   1.10616935e-03  
 1          2          2.00000000       37         3.38328755e-01   2.60668692e+02   8.89310489e+01   1.18754468e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.37512516e+01   0.00000000e+00   2.77032920e+02   1.02988612e+00   -5.40858950e-04 
 1          2          2.00000000       38         2.73243538e-01   8.37512516e+01   5.28892831e+01   3.22910955e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.89310489e+01   4.90401610e+01   0.00000000e+00   0.00000000e+00   2.17087194e+00   8.05909108e-04  
 1          2          2.00000000       39         2.46917325e-01   4.90401610e+01   2.55083498e+01   4.57734292e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.28892831e+01   2.38948373e+01   0.00000000e+00   0.00000000e+00   2.58897081e+00   -3.20076888e-04 
 1          2          2.00000000       40         2.47213237e-01   2.38948373e+01   0.00000000e+00   5.15195122e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.55083498e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.78564017e+00   1.17181568e-05  
 1          3          3.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.21064673e-14 
 1          3          3.00000000       2          9.60000079e-09   7.20005270e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.67999967e-08   0.00000000e+00   0.00000000e+00   0.00000000e+00   5.68434189e-14  
 1          3          3.00000000       3          9.49674684e-01   1.67999967e-08   0.00000000e+00   1.43370249e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.38338690e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -9.70547630e-06 
 1          3          3.00000000       4          1.03355209e+00   2.38338690e+00   0.00000000e+00   9.21839635e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.26352876e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.76889440e-05  
 1          3          3.00000000       5          9.93719304e-01   1.26352876e+01   0.00000000e+00   3.29328990e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.69223206e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.37506328e-05 
 1          3          3.00000000       6          1.10744367e+00   1.69223206e+01   0.00000000e+00   5.02565862e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.30554323e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -9.36775477e-06 
 1          3          3.00000000       7          1.06334861e+00   2.30554323e+01   0.00000000e+00   1.16462803e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.57652023e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.41135605e-04 
 1          3          3.00000000       8          1.19540560e+00   3.57652023e+01   0.00000000e+00   3.61453196e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.05741713e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.68558484e-04  
 1          3          3.00000000       9          1.18139872e+00   4.05741713e+01   0.00000000e+00   5.61038411e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.73670142e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.06010337e-03 
 1          3          3.00000000       10         1.30748509e+00   4.73670142e+01   0.00000000e+00   1.17903870e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.04645690e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.17301785e-04  
 1          3          3.00000000       11         1.29533878e+00   6.04645690e+01   0.00000000e+00   4.20174940e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   6.59620039e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.46709641e-04 
 1          3          3.00000000       12         1.43125669e+00   6.59620039e+01   0.00000000e+00   6.31878972e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.37117406e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.09708066e-04  
 1          3          3.00000000       13         1.41157648e+00   7.37117406e+01   0.00000000e+00   1.43890302e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   8.95123773e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.00352538e-05 
 1          3          3.00000000       14         1.55872101e+00   8.95123773e+01   0.00000000e+00   4.42364517e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   9.54947560e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.25047353e-05 
 1          3          3.00000000       15         1.54481936e+00   9.54947560e+01   0.00000000e+00   6.84019697e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.03879873e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.00645944e-04 
 1          3          3.00000000       16         1.68896766e+00   1.03879873e+02   0.00000000e+00   1.42897295e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.19858245e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.25341520e-04  
 1          3          3.00000000       17         1.67806363e+00   1.19858245e+02   0.00000000e+00   5.07777736e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.26613815e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.70842588e-04  
 1          3          3.00000000       18         1.80260340e+00   1.26613815e+02   0.00000000e+00   7.62213125e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.36035431e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.11872527e-03  
 1          3          3.00000000       19         1.76423424e+00   1.36035431e+02   0.00000000e+00   1.73062640e+01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.55109635e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.70579258e-03 
 1          3          3.00000000       20         1.88960395e+00   1.55109635e+02   0.00000000e+00   5.30854675e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.62307747e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.86885433e-05  
 1          3          3.00000000       21         1.84669466e+00   1.62307747e+02   0.00000000e+00   8.19717725e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.72351695e+02   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.66143703e-05 
