 IPER  ISTEP           TLEN          ILYR                  STAIN                  TOPIN                  BOTIN                  GHBIN                  DRNIN                  STAOUT                  TOPOUT                  BOTOUT                  GHBOUT                  DRNOUT                  ABER
 1          2          2.00000000       25         6.27763417e-02   3.04875875e+01   1.86744081e-01   3.59778169e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   3.14221843e+01   0.00000000e+00   2.91270441e+00   9.05434426e-07  
 1          2          2.00000000       26         6.87973383e-02   3.14221843e+01   4.67081221e-03   1.05277617e+00   0.00000000e+00   0.00000000e+00   1.86744081e-01   2.89654551e+01   0.00000000e+00   3.39622855e+00   8.49343650e-07  
 1          2          2.00000000       27         7.27571065e-02   2.89654551e+01   2.49424296e-01   1.58322398e+00   0.00000000e+00   0.00000000e+00   4.67081221e-03   2.77169198e+01   0.00000000e+00   3.14926915e+00   7.07746688e-07  
 1          2          2.00000000       28         7.92346644e-02   2.77169198e+01   5.40204668e-02   3.09343967e+00   0.00000000e+00   0.00000000e+00   2.49424296e-01   2.71017592e+01   0.00000000e+00   3.59243018e+00   9.71163878e-07  
 1          2          2.00000000       29         8.34593840e-02   2.71017592e+01   3.01747401e-01   1.05091015e+00   0.00000000e+00   0.00000000e+00   5.40204668e-02   2.51356168e+01   0.00000000e+00   3.34823842e+00   4.53863809e-07  
 1          2          2.00000000       30         9.03856511e-02   2.51356168e+01   1.59224918e-01   1.51773318e+00   0.00000000e+00   0.00000000e+00   3.01747401e-01   2.28451849e+01   0.00000000e+00   3.75602748e+00   7.22811430e-07  
 1          2          2.00000000       31         9.48574295e-02   2.28451849e+01   3.44143853e-01   3.19800593e+00   0.00000000e+00   0.00000000e+00   1.59224918e-01   2.28109384e+01   0.00000000e+00   3.51202822e+00   5.40731651e-07  
 1          2          2.00000000       32         1.02240534e-01   2.28109384e+01   2.78471235e-01   9.23194891e-01   0.00000000e+00   0.00000000e+00   3.44143853e-01   1.98816990e+01   0.00000000e+00   3.88900193e+00   3.59385607e-07  
 1          2          2.00000000       33         1.06965902e-01   1.98816990e+01   3.77159140e-01   1.37652261e+00   0.00000000e+00   0.00000000e+00   2.78471235e-01   1.78210144e+01   0.00000000e+00   3.64286073e+00   2.63647252e-07  
 1          2          2.00000000       34         1.14792027e-01   1.78210144e+01   3.73531923e-01   2.62332999e+00   0.00000000e+00   0.00000000e+00   3.77159140e-01   1.65620137e+01   0.00000000e+00   3.99349514e+00   3.31461523e-07  
 1          2          2.00000000       35         1.19766034e-01   1.65620137e+01   4.23285624e-01   8.73631527e-01   0.00000000e+00   0.00000000e+00   3.73531923e-01   1.38614062e+01   0.00000000e+00   3.74375867e+00   6.08461974e-08  
 1          2          2.00000000       36         1.28028445e-01   1.38614062e+01   4.42777187e-01   1.23607284e+00   0.00000000e+00   0.00000000e+00   4.23285624e-01   1.11717280e+01   0.00000000e+00   4.07327086e+00   2.40357881e-07  
 1          2          2.00000000       37         1.33235682e-01   1.11717280e+01   4.82604201e-01   2.46075671e+00   0.00000000e+00   0.00000000e+00   4.42777187e-01   9.98291939e+00   0.00000000e+00   3.82262778e+00   2.15607854e-07  
 1          2          2.00000000       38         1.41938604e-01   9.98291939e+00   5.07408090e-01   6.65838596e-01   0.00000000e+00   0.00000000e+00   4.82604201e-01   6.67265481e+00   0.00000000e+00   4.14284546e+00   2.11101687e-07  
 1          2          2.00000000       39         1.47381134e-01   6.67265481e+00   5.04901017e-01   9.42308910e-01   0.00000000e+00   0.00000000e+00   5.07408090e-01   3.84580003e+00   0.00000000e+00   3.91403744e+00   3.16677188e-07  
 1          2          2.00000000       40         1.56490471e-01   3.84580003e+00   0.00000000e+00   1.05936284e+00   0.00000000e+00   0.00000000e+00   5.04901017e-01   0.00000000e+00   0.00000000e+00   4.55675257e+00   -2.49338110e-07 
 1          3          3.00000000       1          7.20000060e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   7.19986322e-09   0.00000000e+00   0.00000000e+00   1.37371596e-13  
 1          3          3.00000000       2          9.60000079e-09   7.19986322e-09   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   1.68000724e-08   0.00000000e+00   0.00000000e+00   -2.08425869e-13 
 1          3          3.00000000       3          8.89030420e-01   1.68000724e-08   0.00000000e+00   1.15026874e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   2.03911074e+00   0.00000000e+00   0.00000000e+00   1.88433555e-04  
